                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0671,                0.92116,                 1.0267,                 0.7602,                 0.6643,                0.74811,                0.40641,                 1.6202,                 1.4197,                 1.3546,             0.00014947,             0.00014947,             0.00014947
                     35,                 1.0299,                0.90603,                 1.0126,                0.78569,                0.68533,                0.77641,                0.42242,                 1.6116,                 1.3306,                 1.3218,             0.00014727,             0.00014727,             0.00014727
                     36,                 1.0237,                0.88594,                 1.0047,                0.70037,                0.65175,                0.72705,                0.40076,                 1.6395,                 1.4165,                 1.3532,             0.00014508,             0.00014508,             0.00014508
                     37,                 1.0207,                 0.8713,                 1.0118,                0.73265,                0.67354,                0.73685,                0.40722,                 1.6098,                 1.4636,                 1.3302,             0.00014288,             0.00014288,             0.00014288
                     38,                  1.017,                0.87241,                 1.0083,                0.78367,                0.69219,                0.76499,                 0.4099,                 1.6388,                 1.3452,                 1.3553,             0.00014068,             0.00014068,             0.00014068
                     39,                 1.0052,                0.85902,                 1.0024,                0.77059,                0.66898,                  0.743,                0.40723,                 1.6175,                 1.3824,                 1.3345,             0.00013848,             0.00013848,             0.00013848
                     40,                 0.9986,                0.83501,                0.99726,                0.73701,                0.68766,                0.73192,                0.40341,                  1.639,                 1.4428,                 1.3649,             0.00013629,             0.00013629,             0.00013629
                     41,                0.99756,                 0.8234,                0.99388,                0.75684,                0.64907,                0.73957,                0.41122,                 1.6099,                 1.4429,                 1.3239,             0.00013409,             0.00013409,             0.00013409
                     42,                0.98213,                0.81258,                0.98798,                0.72489,                0.67321,                0.73262,                0.39887,                 1.6188,                 1.3595,                 1.3581,             0.00013189,             0.00013189,             0.00013189
                     43,                0.97602,                0.81714,                0.98509,                0.72666,                0.67476,                0.73811,                0.40232,                 1.6111,                 1.3871,                 1.3694,             0.00012969,             0.00012969,             0.00012969
                     44,                0.96601,                0.79883,                0.98737,                0.76089,                0.67855,                0.75354,                0.40129,                 1.6239,                 1.4064,                  1.353,             0.00012749,             0.00012749,             0.00012749
