                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.21058,                      1,                      1,                0.75077,             0.00030402,             0.00030402,             0.00030402
                     60,                0.09549,                      1,                      1,                0.75094,             0.00029695,             0.00029695,             0.00029695
                     61,                0.07191,                      1,                      1,                0.75094,             0.00028988,             0.00028988,             0.00028988
                     62,                0.09454,                      1,                      1,                0.74951,             0.00028282,             0.00028282,             0.00028282
                     63,                0.12459,                      1,                      1,                 0.7491,             0.00027575,             0.00027575,             0.00027575
                     64,                0.29405,                      1,                      1,                0.74861,             0.00026868,             0.00026868,             0.00026868
                     65,                0.10759,                      1,                      1,                0.74861,             0.00026161,             0.00026161,             0.00026161
                     66,                0.17935,                      1,                      1,                0.74837,             0.00025454,             0.00025454,             0.00025454
                     67,                0.09066,                      1,                      1,                0.74757,             0.00024747,             0.00024747,             0.00024747
                     68,                0.05179,                      1,                      1,                0.74756,              0.0002404,              0.0002404,              0.0002404
                     69,                0.21888,                      1,                      1,                0.74756,             0.00023334,             0.00023334,             0.00023334
                     70,                0.08447,                      1,                      1,                0.74726,             0.00022627,             0.00022627,             0.00022627
                     71,                 0.1152,                      1,                      1,                0.74686,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.0724,                      1,                      1,                0.74665,             0.00021213,             0.00021213,             0.00021213
                     73,                 0.0846,                      1,                      1,                0.74665,             0.00020506,             0.00020506,             0.00020506
                     74,                0.06191,                      1,                      1,                0.74693,             0.00019799,             0.00019799,             0.00019799
                     75,                0.06148,                      1,                      1,                0.74718,             0.00019092,             0.00019092,             0.00019092
                     76,                0.14785,                      1,                      1,                0.74729,             0.00018385,             0.00018385,             0.00018385
                     77,                0.19015,                      1,                      1,                0.74729,             0.00017679,             0.00017679,             0.00017679
                     78,                0.16282,                      1,                      1,                0.74683,             0.00016972,             0.00016972,             0.00016972
                     79,                0.07291,                      1,                      1,                0.74656,             0.00016265,             0.00016265,             0.00016265
                     80,                0.06655,                      1,                      1,                0.74634,             0.00015558,             0.00015558,             0.00015558
                     81,                0.14291,                      1,                      1,                0.74634,             0.00014851,             0.00014851,             0.00014851
                     82,                0.12204,                      1,                      1,                0.74599,             0.00014144,             0.00014144,             0.00014144
                     83,                0.13566,                      1,                      1,                0.74577,             0.00013437,             0.00013437,             0.00013437
                     84,                0.09729,                      1,                      1,                0.74574,             0.00012731,             0.00012731,             0.00012731
                     85,                 0.0977,                      1,                      1,                0.74574,             0.00012024,             0.00012024,             0.00012024
                     86,                 0.0419,                      1,                      1,                0.74585,             0.00011317,             0.00011317,             0.00011317
                     87,                0.07819,                      1,                      1,                0.74589,              0.0001061,              0.0001061,              0.0001061
                     88,                0.32309,                      1,                      1,                0.74567,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.03961,                      1,                      1,                0.74567,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.07669,                      1,                      1,                0.74581,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.05773,                      1,                      1,                0.74588,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.12434,                      1,                      1,                0.74607,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.14457,                      1,                      1,                0.74607,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.03794,                      1,                      1,                0.74597,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.15091,                      1,                      1,                0.74591,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.18405,                      1,                      1,                0.74594,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.19873,                      1,                      1,                0.74594,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.07724,                      1,                      1,                0.74598,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.03937,                      1,                      1,                0.74598,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.14863,                      1,                      1,                0.74581,             1.4209e-05,             1.4209e-05,             1.4209e-05
