                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1981,                 1.3576,                 1.0779,                0.75258,                0.65123,                0.74692,                0.40448,                  1.594,                 1.8451,                 1.3193,             0.00019795,             0.00019795,             0.00019795
                     35,                 1.1971,                 1.3381,                 1.0607,                0.69417,                 0.6869,                 0.7586,                0.40362,                 1.5904,                 1.9655,                 1.3169,             0.00019504,             0.00019504,             0.00019504
                     36,                 1.1444,                 1.2899,                  1.056,                0.62554,                0.65312,                0.72774,                0.40159,                 1.6008,                 1.9277,                    1.3,             0.00019213,             0.00019213,             0.00019213
                     37,                 1.1787,                 1.2838,                 1.0538,                0.79225,                0.69612,                0.75429,                0.41451,                 1.5968,                 1.8986,                 1.3143,             0.00018922,             0.00018922,             0.00018922
                     38,                 1.1369,                 1.2545,                 1.0489,                0.67031,                0.67155,                0.74458,                0.39584,                 1.5682,                 1.8688,                 1.3026,             0.00018631,             0.00018631,             0.00018631
                     39,                 1.1231,                 1.2329,                 1.0405,                0.74137,                0.69187,                0.76076,                0.40894,                 1.6118,                 1.7997,                 1.3701,              0.0001834,              0.0001834,              0.0001834
                     40,                 1.1395,                 1.2116,                 1.0511,                0.64347,                0.71964,                0.77178,                0.42245,                  1.575,                 1.7786,                 1.3064,             0.00018049,             0.00018049,             0.00018049
                     41,                 1.1285,                 1.1973,                 1.0407,                0.66001,                0.72515,                0.77276,                0.39743,                 1.5943,                 1.8491,                 1.3184,             0.00017758,             0.00017758,             0.00017758
                     42,                 1.1245,                 1.1836,                 1.0515,                0.63601,                0.67571,                0.72254,                0.38087,                  1.604,                 1.8411,                 1.3264,             0.00017467,             0.00017467,             0.00017467
                     43,                 1.0994,                 1.1685,                 1.0422,                0.67937,                0.69614,                 0.7547,                0.40233,                 1.6929,                 1.7259,                 1.3959,             0.00017175,             0.00017175,             0.00017175
                     44,                 1.1317,                 1.1551,                 1.0434,                0.60726,                 0.7291,                0.75932,                0.41765,                 1.6305,                 1.7291,                  1.343,             0.00016884,             0.00016884,             0.00016884
                     45,                  1.104,                 1.1246,                 1.0279,                0.71173,                0.73832,                0.80219,                0.44213,                 1.6266,                 1.6031,                 1.3533,             0.00016593,             0.00016593,             0.00016593
                     46,                 1.0802,                 1.0815,                 1.0225,                0.72659,                0.70406,                0.77344,                0.43124,                 1.5758,                  1.649,                 1.3204,             0.00016302,             0.00016302,             0.00016302
                     47,                 1.0989,                 1.0979,                 1.0291,                0.67458,                 0.7562,                0.79534,                 0.4523,                 1.5727,                 1.6264,                 1.3101,             0.00016011,             0.00016011,             0.00016011
                     48,                 1.0555,                 1.0698,                 1.0048,                0.75686,                0.70168,                0.77917,                0.43396,                 1.5868,                 1.6564,                 1.2945,              0.0001572,              0.0001572,              0.0001572
                     49,                 1.0219,                 1.0571,                 1.0059,                0.61618,                0.73998,                0.75938,                0.42209,                 1.6087,                 1.6623,                 1.3233,             0.00015429,             0.00015429,             0.00015429
                     50,                 1.0591,                 1.0427,                  1.013,                0.75568,                0.67189,                0.76085,                0.43869,                 1.5511,                 1.6488,                 1.3019,             0.00015138,             0.00015138,             0.00015138
                     51,                 1.0499,                 1.0127,                 1.0083,                0.70992,                0.75908,                0.78283,                0.43827,                 1.5589,                 1.5718,                 1.3196,             0.00014847,             0.00014847,             0.00014847
                     52,                 1.0195,                 1.0193,                0.99959,                0.75604,                0.66343,                0.75198,                0.40844,                 1.5905,                  1.685,                 1.3193,             0.00014556,             0.00014556,             0.00014556
                     53,                 1.0144,                  1.008,                0.99962,                0.71279,                0.69081,                0.78647,                0.44619,                 1.6084,                 1.5372,                 1.3338,             0.00014265,             0.00014265,             0.00014265
                     54,                 1.0276,                0.98783,                  1.002,                0.79861,                0.72427,                0.77712,                0.42901,                 1.6088,                 1.6647,                 1.3264,             0.00013974,             0.00013974,             0.00013974
                     55,                 1.0041,                0.99514,                 1.0046,                0.67746,                0.72824,                0.75898,                0.41016,                 1.6189,                 1.6119,                 1.3433,             0.00013683,             0.00013683,             0.00013683
                     56,                 1.0021,                0.96281,                0.98619,                0.67347,                0.72711,                0.75276,                0.40358,                 1.6313,                  1.619,                 1.3537,             0.00013392,             0.00013392,             0.00013392
                     57,                  1.012,                0.97771,                0.99838,                0.67769,                0.76303,                0.77259,                0.42362,                 1.5985,                 1.5468,                 1.3364,             0.00013101,             0.00013101,             0.00013101
                     58,                0.99877,                0.97143,                0.98351,                0.66227,                0.73863,                0.74577,                0.41137,                  1.598,                 1.5731,                 1.3673,              0.0001281,              0.0001281,              0.0001281
                     59,                 1.0099,                0.93922,                 1.0015,                 0.7445,                0.70151,                  0.756,                0.42181,                 1.6161,                 1.5908,                 1.3646,             0.00012519,             0.00012519,             0.00012519
                     60,                 0.9942,                0.93461,                0.98658,                 0.6702,                0.70656,                0.74217,                0.41347,                 1.5931,                 1.5184,                 1.3835,             0.00012227,             0.00012227,             0.00012227
                     61,                0.99867,                0.93664,                0.99623,                0.66652,                0.76785,                0.76947,                0.41271,                 1.6323,                 1.5621,                 1.3565,             0.00011936,             0.00011936,             0.00011936
                     62,                0.95464,                0.89231,                0.96914,                 0.6922,                0.75108,                0.79016,                0.41866,                 1.6488,                 1.5316,                 1.3591,             0.00011645,             0.00011645,             0.00011645
                     63,                0.96202,                0.91633,                0.97127,                0.69236,                0.76261,                  0.767,                0.41758,                 1.6078,                 1.5724,                 1.3408,             0.00011354,             0.00011354,             0.00011354
                     64,                0.93762,                0.87761,                0.96468,                0.69569,                0.70188,                0.76881,                0.41669,                 1.6124,                 1.4919,                 1.3644,             0.00011063,             0.00011063,             0.00011063
                     65,                0.93607,                0.85759,                0.96075,                0.80412,                0.69895,                0.78517,                0.42028,                 1.6342,                 1.5369,                 1.3747,             0.00010772,             0.00010772,             0.00010772
                     66,                0.93929,                0.88049,                 0.9732,                 0.7719,                0.74805,                0.77559,                0.42624,                 1.5969,                 1.5108,                 1.3536,             0.00010481,             0.00010481,             0.00010481
                     67,                0.94532,                0.89337,                0.97882,                0.68694,                0.72505,                0.78143,                0.43533,                 1.5915,                  1.491,                  1.359,              0.0001019,              0.0001019,              0.0001019
                     68,                0.94039,                0.87717,                0.97646,                0.72571,                0.75436,                0.77992,                0.43064,                 1.6371,                 1.4742,                 1.3561,              9.899e-05,              9.899e-05,              9.899e-05
                     69,                0.92519,                0.87301,                0.96449,                0.69529,                0.75473,                0.77685,                0.42084,                  1.632,                 1.4994,                 1.3539,             9.6079e-05,             9.6079e-05,             9.6079e-05
                     70,                0.92069,                0.83392,                0.96322,                0.75677,                0.73628,                0.77422,                0.43099,                 1.5952,                 1.4711,                 1.3449,             9.3169e-05,             9.3169e-05,             9.3169e-05
                     71,                0.91159,                0.83261,                0.94947,                0.65913,                0.79458,                0.79162,                0.45218,                 1.5764,                 1.4299,                 1.3541,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     72,                0.89884,                0.81219,                0.94861,                0.78973,                0.72471,                0.80514,                0.44289,                 1.5976,                 1.4526,                 1.3637,             8.7347e-05,             8.7347e-05,             8.7347e-05
                     73,                0.89269,                0.83591,                0.96146,                0.60275,                0.74449,                 0.7558,                0.42648,                  1.616,                 1.4618,                 1.3848,             8.4437e-05,             8.4437e-05,             8.4437e-05
                     74,                0.91802,                 0.8489,                  0.968,                0.67144,                0.73177,                 0.7508,                0.42751,                 1.6027,                 1.4717,                 1.3719,             8.1526e-05,             8.1526e-05,             8.1526e-05
                     75,                0.90618,                0.82618,                0.96413,                0.69378,                0.77027,                0.78393,                0.44333,                 1.6145,                 1.4653,                 1.3656,             7.8616e-05,             7.8616e-05,             7.8616e-05
                     76,                0.90087,                0.82774,                0.95154,                0.73418,                0.70909,                0.76633,                0.41591,                 1.6096,                   1.46,                 1.3729,             7.5705e-05,             7.5705e-05,             7.5705e-05
                     77,                0.87492,                0.80494,                0.94957,                0.67885,                 0.7438,                0.77164,                0.41387,                 1.6113,                 1.4549,                 1.3582,             7.2794e-05,             7.2794e-05,             7.2794e-05
                     78,                0.88305,                0.80922,                0.94553,                0.65905,                0.70506,                0.76101,                0.42729,                 1.6094,                 1.4783,                 1.3683,             6.9884e-05,             6.9884e-05,             6.9884e-05
                     79,                0.87495,                 0.7962,                0.94934,                0.70672,                0.74035,                0.78499,                0.43755,                 1.6214,                 1.5074,                 1.3699,             6.6973e-05,             6.6973e-05,             6.6973e-05
                     80,                0.87361,                0.81603,                0.95395,                0.63454,                0.73011,                0.75864,                0.40859,                 1.6222,                 1.4639,                  1.362,             6.4063e-05,             6.4063e-05,             6.4063e-05
                     81,                 0.8908,                 0.8128,                0.95633,                0.71716,                0.74281,                0.79082,                0.44646,                 1.6083,                 1.4077,                 1.3677,             6.1152e-05,             6.1152e-05,             6.1152e-05
                     82,                0.84638,                0.78783,                 0.9373,                0.73859,                0.74663,                0.78468,                0.43728,                 1.5965,                 1.3849,                 1.3691,             5.8241e-05,             5.8241e-05,             5.8241e-05
                     83,                0.84785,                0.78188,                0.94766,                0.71801,                0.74834,                0.78497,                 0.4461,                  1.573,                 1.4002,                 1.3545,             5.5331e-05,             5.5331e-05,             5.5331e-05
                     84,                0.83956,                0.77443,                0.93365,                0.71827,                0.74098,                0.77303,                0.44176,                 1.5739,                 1.3947,                 1.3745,              5.242e-05,              5.242e-05,              5.242e-05
                     85,                0.85453,                 0.7999,                0.94476,                0.73686,                0.74502,                0.78889,                0.43868,                 1.5857,                 1.4236,                 1.3647,              4.951e-05,              4.951e-05,              4.951e-05
                     86,                0.83237,                0.77707,                0.93521,                0.74819,                0.73611,                0.78383,                 0.4474,                 1.5827,                 1.4257,                 1.3699,             4.6599e-05,             4.6599e-05,             4.6599e-05
                     87,                0.82061,                0.75068,                0.92316,                0.74843,                0.76239,                0.78642,                0.44463,                 1.5883,                 1.4212,                 1.3763,             4.3688e-05,             4.3688e-05,             4.3688e-05
                     88,                 0.8316,                0.76303,                0.93091,                0.75356,                0.73231,                0.78986,                0.44885,                 1.5786,                 1.4236,                 1.3615,             4.0778e-05,             4.0778e-05,             4.0778e-05
                     89,                0.82261,                0.76495,                0.92882,                0.76108,                 0.7005,                0.76201,                0.42656,                 1.5878,                  1.456,                 1.3681,             3.7867e-05,             3.7867e-05,             3.7867e-05
                     90,                0.81486,                0.75665,                0.93012,                0.77643,                  0.727,                0.78949,                0.44152,                 1.5959,                 1.4295,                 1.3722,             3.4957e-05,             3.4957e-05,             3.4957e-05
                     91,                0.84061,                0.78277,                0.94586,                0.72105,                0.70667,                0.75654,                0.41346,                 1.6104,                  1.477,                 1.3894,             3.2046e-05,             3.2046e-05,             3.2046e-05
                     92,                0.78267,                0.74846,                0.92491,                0.72787,                0.72505,                0.76861,                0.41966,                 1.6057,                 1.4287,                  1.397,             2.9135e-05,             2.9135e-05,             2.9135e-05
                     93,                0.77203,                0.72748,                0.93007,                0.64742,                0.71539,                0.76263,                0.41294,                 1.6119,                 1.4739,                 1.4065,             2.6225e-05,             2.6225e-05,             2.6225e-05
                     94,                0.76713,                0.70965,                 0.9121,                0.66531,                0.71198,                0.76279,                0.42024,                 1.6136,                  1.456,                 1.3978,             2.3314e-05,             2.3314e-05,             2.3314e-05
                     95,                0.76833,                0.72792,                0.92318,                0.64755,                0.71044,                0.75128,                0.42316,                 1.6135,                   1.45,                 1.3929,             2.0404e-05,             2.0404e-05,             2.0404e-05
                     96,                0.75791,                0.70856,                0.91659,                0.62619,                0.74307,                0.75957,                0.42623,                 1.5957,                 1.4571,                 1.3865,             1.7493e-05,             1.7493e-05,             1.7493e-05
                     97,                0.75749,                0.71852,                0.91122,                0.67011,                0.73566,                0.76634,                0.43122,                 1.5956,                  1.448,                  1.388,             1.4582e-05,             1.4582e-05,             1.4582e-05
                     98,                0.75055,                0.71591,                 0.9075,                 0.6652,                0.75432,                 0.7789,                0.43582,                 1.6051,                 1.4365,                 1.3963,             1.1672e-05,             1.1672e-05,             1.1672e-05
                     99,                0.73878,                0.70588,                0.91335,                0.65228,                0.73394,                0.76743,                0.42929,                 1.6083,                 1.4442,                 1.3988,             8.7612e-06,             8.7612e-06,             8.7612e-06
                    100,                0.74403,                0.69981,                0.92225,                0.68514,                0.74081,                0.77328,                0.42836,                 1.6049,                 1.4383,                 1.4002,             5.8506e-06,             5.8506e-06,             5.8506e-06
