                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 95.135,                      0,                      0,                      0,                      0,                      0,                      0,                 33.099,                      0,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                      0,                 94.212,                      0,                      0,                      0,                      0,                      0,                      0,                  33.18,                      0,             5.5845e-05,             5.5845e-05,             5.5845e-05
                      3,                      0,                 93.198,                      0,                      0,                      0,                      0,                      0,                      0,                 33.239,                      0,             4.5342e-05,             4.5342e-05,             4.5342e-05
