                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83566,                0.57316,                0.99419,                0.78493,                0.71151,                0.77617,                 0.4367,                 1.5888,                 1.2876,                 1.4856,             0.00014727,             0.00014727,             0.00014727
                     36,                0.84014,                0.56391,                0.98944,                0.76525,                0.72877,                0.79233,                0.44647,                 1.6003,                 1.1923,                 1.4868,             0.00014508,             0.00014508,             0.00014508
                     37,                0.81698,                0.54857,                0.99005,                0.78055,                0.71538,                0.78585,                0.43614,                 1.5733,                 1.2168,                 1.4667,             0.00014288,             0.00014288,             0.00014288
                     38,                0.81893,                0.55378,                0.98859,                0.78827,                0.71368,                0.77827,                0.43208,                 1.6351,                 1.2381,                 1.4912,             0.00014068,             0.00014068,             0.00014068
                     39,                 0.8191,                0.55056,                0.98753,                0.79987,                0.72518,                0.78741,                0.43631,                 1.6158,                 1.1799,                 1.4959,             0.00013848,             0.00013848,             0.00013848
                     40,                0.79273,                 0.5299,                0.97687,                 0.8156,                0.73369,                0.81176,                0.45124,                 1.5986,                 1.1327,                 1.5116,             0.00013629,             0.00013629,             0.00013629
                     41,                0.79501,                0.52632,                0.97959,                0.80775,                0.73776,                0.79848,                0.44413,                  1.594,                  1.221,                 1.4866,             0.00013409,             0.00013409,             0.00013409
                     42,                   0.78,                0.51172,                0.96732,                0.77207,                0.72724,                0.78523,                0.44226,                 1.6032,                  1.193,                 1.4929,             0.00013189,             0.00013189,             0.00013189
                     43,                0.77381,                0.52199,                0.96807,                0.84093,                0.73064,                0.79142,                0.43464,                 1.6326,                 1.1844,                 1.5322,             0.00012969,             0.00012969,             0.00012969
                     44,                 0.7655,                0.51305,                0.96743,                 0.8281,                 0.7455,                0.80307,                0.44935,                 1.6009,                 1.1527,                 1.5118,             0.00012749,             0.00012749,             0.00012749
                     45,                0.76952,                 0.5155,                0.96767,                0.82821,                0.74473,                0.79338,                0.44633,                 1.5968,                 1.1447,                 1.4883,              0.0001253,              0.0001253,              0.0001253
                     46,                0.75388,                0.49879,                0.95657,                0.81432,                0.74673,                0.79542,                0.43788,                 1.6196,                 1.2187,                 1.5029,              0.0001231,              0.0001231,              0.0001231
                     47,                0.74547,                0.50872,                 0.9543,                0.81969,                0.69224,                  0.773,                0.42702,                 1.5965,                 1.2768,                 1.5058,              0.0001209,              0.0001209,              0.0001209
                     48,                0.74445,                0.49086,                0.95212,                0.79119,                0.71419,                0.79463,                0.43756,                 1.6071,                 1.2164,                 1.5265,              0.0001187,              0.0001187,              0.0001187
                     49,                 0.7375,                 0.4865,                0.95316,                0.78856,                0.74527,                0.78944,                0.44206,                   1.62,                 1.1551,                  1.515,             0.00011651,             0.00011651,             0.00011651
                     50,                0.72428,                0.48052,                0.94935,                0.79809,                0.69983,                0.77834,                0.43149,                  1.623,                 1.2041,                 1.5306,             0.00011431,             0.00011431,             0.00011431
                     51,                0.73213,                0.48787,                 0.9511,                0.74359,                0.75755,                0.79112,                0.43507,                 1.6204,                 1.1759,                 1.5324,             0.00011211,             0.00011211,             0.00011211
                     52,                0.70773,                 0.4692,                0.94016,                0.81815,                0.71183,                0.78428,                0.43006,                 1.6518,                 1.2026,                 1.5614,             0.00010991,             0.00010991,             0.00010991
                     53,                0.70042,                0.46443,                0.93793,                0.79594,                0.74593,                 0.7901,                0.44827,                 1.5843,                 1.1313,                 1.5142,             0.00010771,             0.00010771,             0.00010771
                     54,                0.71748,                0.47615,                0.95067,                0.85159,                0.73904,                0.79729,                0.44757,                 1.5992,                 1.1218,                 1.5297,             0.00010552,             0.00010552,             0.00010552
                     55,                0.70644,                0.46158,                0.93766,                0.84117,                0.72068,                0.79552,                0.43724,                 1.6019,                 1.1828,                 1.5176,             0.00010332,             0.00010332,             0.00010332
                     56,                0.68402,                0.45017,                0.93128,                0.76499,                 0.7386,                0.79051,                 0.4458,                 1.6075,                 1.1552,                 1.5501,             0.00010112,             0.00010112,             0.00010112
                     57,                0.69512,                0.46226,                0.93162,                0.75634,                0.72503,                0.78812,                0.44109,                 1.6139,                 1.1677,                 1.5473,             9.8923e-05,             9.8923e-05,             9.8923e-05
                     58,                0.68478,                0.45302,                0.93227,                0.79078,                0.71782,                0.77804,                0.43807,                 1.6155,                 1.1831,                  1.536,             9.6725e-05,             9.6725e-05,             9.6725e-05
                     59,                0.67072,                0.44804,                0.93038,                0.79646,                0.72305,                0.78918,                0.44572,                 1.5854,                 1.1727,                 1.5317,             9.4528e-05,             9.4528e-05,             9.4528e-05
                     60,                0.66811,                0.44098,                 0.9247,                 0.8041,                0.74223,                0.79751,                0.44093,                 1.6044,                 1.1828,                 1.5348,              9.233e-05,              9.233e-05,              9.233e-05
                     61,                0.65917,                0.43835,                0.92239,                0.76356,                0.73573,                0.78359,                0.43275,                 1.6141,                 1.1716,                 1.5404,             9.0132e-05,             9.0132e-05,             9.0132e-05
                     62,                0.64992,                0.42977,                0.91732,                0.79145,                0.73613,                 0.7844,                0.44146,                  1.584,                 1.1711,                 1.5253,             8.7934e-05,             8.7934e-05,             8.7934e-05
                     63,                0.65882,                 0.4365,                0.92527,                0.78429,                0.71819,                0.76967,                0.43908,                 1.5816,                 1.2357,                 1.5357,             8.5736e-05,             8.5736e-05,             8.5736e-05
                     64,                0.65204,                0.42924,                0.92075,                0.80095,                0.71765,                0.77671,                 0.4431,                   1.57,                 1.2484,                 1.5032,             8.3539e-05,             8.3539e-05,             8.3539e-05
                     65,                0.63629,                0.42088,                0.91519,                0.81703,                0.73383,                 0.7898,                 0.4518,                 1.5772,                  1.168,                 1.5193,             8.1341e-05,             8.1341e-05,             8.1341e-05
                     66,                0.63283,                0.42009,                0.91463,                0.79876,                0.72673,                0.78068,                0.44176,                 1.5937,                  1.183,                 1.5471,             7.9143e-05,             7.9143e-05,             7.9143e-05
                     67,                0.62817,                0.41607,                 0.9188,                  0.738,                0.74923,                0.77046,                0.43168,                 1.6034,                 1.2456,                 1.5406,             7.6945e-05,             7.6945e-05,             7.6945e-05
                     68,                0.61692,                0.40538,                0.90894,                0.80068,                0.75936,                0.79268,                0.44347,                 1.5931,                 1.1671,                 1.5394,             7.4747e-05,             7.4747e-05,             7.4747e-05
                     69,                0.61638,                0.41049,                0.90639,                0.79103,                0.73166,                0.79414,                0.44171,                 1.5977,                 1.2027,                 1.5599,              7.255e-05,              7.255e-05,              7.255e-05
                     70,                0.61825,                0.40954,                0.91306,                0.81571,                0.71253,                0.78224,                0.44241,                 1.6034,                 1.2293,                 1.5491,             7.0352e-05,             7.0352e-05,             7.0352e-05
                     71,                0.61208,                0.40422,                0.90477,                0.77997,                0.72432,                0.78385,                0.44717,                 1.6045,                 1.2205,                 1.5675,             6.8154e-05,             6.8154e-05,             6.8154e-05
                     72,                0.60599,                0.40702,                0.90521,                0.82879,                0.72413,                0.78904,                0.45017,                 1.5977,                 1.1804,                 1.5565,             6.5956e-05,             6.5956e-05,             6.5956e-05
                     73,                0.59449,                0.39712,                0.90575,                0.78211,                0.73412,                0.77868,                0.44229,                 1.5994,                  1.209,                 1.5477,             6.3758e-05,             6.3758e-05,             6.3758e-05
                     74,                0.59269,                0.38958,                0.90017,                0.74763,                0.73529,                 0.7754,                0.43686,                 1.6086,                  1.226,                 1.5704,             6.1561e-05,             6.1561e-05,             6.1561e-05
                     75,                0.59702,                0.39507,                0.89598,                0.75179,                0.72994,                0.77919,                0.44527,                 1.5833,                 1.1708,                 1.5573,             5.9363e-05,             5.9363e-05,             5.9363e-05
                     76,                0.58012,                0.38462,                0.89698,                0.83233,                0.71763,                0.78894,                0.44829,                 1.6027,                 1.1793,                 1.5576,             5.7165e-05,             5.7165e-05,             5.7165e-05
                     77,                0.58594,                0.38904,                0.89537,                 0.8279,                0.71999,                0.79222,                0.45358,                  1.591,                 1.1692,                 1.5627,             5.4967e-05,             5.4967e-05,             5.4967e-05
                     78,                0.58176,                0.38296,                0.89777,                0.78756,                0.75329,                0.79467,                0.45009,                 1.6086,                 1.1506,                 1.5787,             5.2769e-05,             5.2769e-05,             5.2769e-05
                     79,                0.57747,                0.38614,                 0.8946,                0.82342,                0.72378,                0.79191,                0.44669,                 1.6026,                 1.1756,                 1.5919,             5.0572e-05,             5.0572e-05,             5.0572e-05
                     80,                0.56842,                0.37573,                0.89193,                0.83872,                 0.7345,                0.79268,                0.44969,                 1.6071,                 1.1854,                 1.5928,             4.8374e-05,             4.8374e-05,             4.8374e-05
                     81,                0.56087,                0.37056,                0.88552,                0.82987,                0.74169,                0.79734,                0.45295,                 1.6127,                 1.1817,                 1.5916,             4.6176e-05,             4.6176e-05,             4.6176e-05
                     82,                0.56257,                0.37584,                0.89128,                0.83214,                0.73052,                 0.7947,                0.44643,                 1.6132,                 1.1673,                 1.6064,             4.3978e-05,             4.3978e-05,             4.3978e-05
                     83,                0.56632,                0.37903,                0.88643,                0.82061,                0.72716,                0.79216,                0.44576,                 1.6109,                 1.1613,                 1.6021,              4.178e-05,              4.178e-05,              4.178e-05
                     84,                0.55322,                0.37142,                0.89021,                 0.8549,                0.72302,                0.80081,                0.44851,                 1.6098,                 1.1723,                  1.597,             3.9583e-05,             3.9583e-05,             3.9583e-05
                     85,                0.55105,                0.37172,                0.88919,                 0.8447,                0.70664,                0.79282,                0.44687,                 1.6111,                 1.1524,                 1.5988,             3.7385e-05,             3.7385e-05,             3.7385e-05
                     86,                0.54983,                0.36706,                0.88408,                0.83497,                0.72205,                0.79192,                0.44544,                  1.622,                  1.169,                 1.6103,             3.5187e-05,             3.5187e-05,             3.5187e-05
                     87,                0.53624,                0.36257,                0.88192,                0.82968,                0.74069,                0.79853,                0.44719,                 1.6206,                 1.1708,                 1.6177,             3.2989e-05,             3.2989e-05,             3.2989e-05
                     88,                 0.5351,                0.36291,                0.88201,                0.84867,                 0.7186,                0.79887,                0.44443,                 1.6195,                 1.1849,                 1.6077,             3.0791e-05,             3.0791e-05,             3.0791e-05
                     89,                0.53165,                0.35443,                0.87642,                0.84739,                0.74566,                0.80335,                0.44564,                  1.623,                 1.1678,                 1.6051,             2.8594e-05,             2.8594e-05,             2.8594e-05
                     90,                 0.5303,                0.35757,                0.88076,                0.83641,                0.72387,                0.79237,                0.44553,                 1.6205,                 1.1916,                  1.605,             2.6396e-05,             2.6396e-05,             2.6396e-05
                     91,                0.51262,                0.31544,                0.87259,                0.79927,                0.73313,                0.78868,                 0.4391,                  1.624,                  1.193,                 1.6013,             2.4198e-05,             2.4198e-05,             2.4198e-05
                     92,                0.48645,                0.30548,                0.85951,                0.80407,                0.73434,                0.79177,                0.44526,                 1.6137,                 1.1959,                 1.6124,                2.2e-05,                2.2e-05,                2.2e-05
                     93,                0.48652,                0.30288,                 0.8653,                 0.8267,                0.73622,                0.80312,                0.44838,                 1.6059,                 1.1707,                  1.612,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     94,                0.48065,                0.30185,                0.85874,                 0.8147,                0.74381,                0.79956,                0.44945,                 1.6095,                 1.1993,                 1.6048,             1.7605e-05,             1.7605e-05,             1.7605e-05
                     95,                0.47148,                0.29408,                0.85702,                 0.8304,                0.74544,                0.80569,                0.45344,                 1.6044,                 1.1965,                 1.5999,             1.5407e-05,             1.5407e-05,             1.5407e-05
                     96,                0.46164,                0.28902,                0.85472,                 0.8421,                0.74474,                0.80522,                 0.4555,                 1.6045,                 1.2087,                 1.6023,             1.3209e-05,             1.3209e-05,             1.3209e-05
                     97,                0.46193,                0.29109,                0.84873,                0.84441,                 0.7368,                0.80497,                 0.4538,                 1.6006,                 1.1985,                 1.6043,             1.1011e-05,             1.1011e-05,             1.1011e-05
                     98,                0.46031,                0.29198,                0.85071,                0.84567,                0.74481,                0.80499,                0.45531,                 1.5949,                 1.1875,                 1.6051,             8.8134e-06,             8.8134e-06,             8.8134e-06
                     99,                0.45266,                0.28663,                0.84861,                0.83157,                0.73877,                0.80014,                0.45596,                 1.5941,                  1.198,                 1.6036,             6.6156e-06,             6.6156e-06,             6.6156e-06
                    100,                0.45584,                0.29111,                0.84975,                0.83637,                0.74068,                 0.7998,                0.45211,                 1.5946,                 1.2087,                 1.6035,             4.4178e-06,             4.4178e-06,             4.4178e-06
