                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.22017,                      1,                      1,                0.31832,              0.0002404,              0.0002404,              0.0002404
                     69,                0.15557,                      1,                      1,                0.31832,             0.00023334,             0.00023334,             0.00023334
                     70,                0.29963,                      1,                      1,                0.31785,             0.00022627,             0.00022627,             0.00022627
                     71,                0.04794,                      1,                      1,                0.31785,              0.0002192,              0.0002192,              0.0002192
                     72,                0.11483,                      1,                      1,                0.31857,             0.00021213,             0.00021213,             0.00021213
                     73,                0.08066,                      1,                      1,                0.31857,             0.00020506,             0.00020506,             0.00020506
                     74,                 0.0854,                      1,                      1,                0.31731,             0.00019799,             0.00019799,             0.00019799
                     75,                0.08896,                      1,                      1,                0.31731,             0.00019092,             0.00019092,             0.00019092
                     76,                0.09771,                      1,                      1,                0.31754,             0.00018385,             0.00018385,             0.00018385
                     77,                0.03792,                      1,                      1,                0.31754,             0.00017679,             0.00017679,             0.00017679
                     78,                0.05565,                      1,                      1,                0.31717,             0.00016972,             0.00016972,             0.00016972
                     79,                 0.1289,                      1,                      1,                0.31717,             0.00016265,             0.00016265,             0.00016265
                     80,                 0.0416,                      1,                      1,                0.31704,             0.00015558,             0.00015558,             0.00015558
                     81,                0.07337,                      1,                      1,                0.31704,             0.00014851,             0.00014851,             0.00014851
                     82,                0.09038,                      1,                      1,                0.31616,             0.00014144,             0.00014144,             0.00014144
                     83,                0.18618,                      1,                      1,                0.31616,             0.00013437,             0.00013437,             0.00013437
                     84,                0.21764,                      1,                      1,                0.31668,             0.00012731,             0.00012731,             0.00012731
                     85,                0.09941,                      1,                      1,                0.31668,             0.00012024,             0.00012024,             0.00012024
                     86,                0.06452,                      1,                      1,                 0.3167,             0.00011317,             0.00011317,             0.00011317
                     87,                0.04351,                      1,                      1,                 0.3167,              0.0001061,              0.0001061,              0.0001061
                     88,                0.08346,                      1,                      1,                0.31656,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.40577,                      1,                      1,                0.31656,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.03662,                      1,                      1,                0.31619,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.08118,                      1,                      1,                0.31619,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.05732,                      1,                      1,                0.31599,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.11893,                      1,                      1,                0.31599,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.06705,                      1,                      1,                 0.3161,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.06272,                      1,                      1,                 0.3161,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.33832,                      1,                      1,                0.31614,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.02087,                      1,                      1,                0.31614,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.01885,                      1,                      1,                0.31628,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.33713,                      1,                      1,                0.31628,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.04987,                      1,                      1,                0.31646,             1.4209e-05,             1.4209e-05,             1.4209e-05
