                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8041,                 5.6858,                 1.3609,                0.21892,                 0.1431,                0.09248,                0.05213,                 1.5535,                  3.572,                 1.2082,              7.533e-05,              7.533e-05,              7.533e-05
                      2,                 1.5384,                 4.3736,                  1.187,                0.19845,                0.28748,                0.23396,                0.12526,                 1.5414,                 2.9556,                 1.2187,              0.0001495,              0.0001495,              0.0001495
                      3,                 1.5284,                 3.7918,                 1.1803,                 0.2783,                0.35003,                0.33549,                0.18583,                 1.5292,                 2.5476,                 1.1985,             0.00022218,             0.00022218,             0.00022218
                      4,                 1.4933,                 3.3305,                 1.1761,                0.42769,                0.49013,                 0.4507,                0.25047,                 1.5393,                 2.2177,                 1.1837,             0.00022026,             0.00022026,             0.00022026
                      5,                 1.4527,                 2.9223,                 1.1577,                0.48959,                0.52436,                0.53066,                0.29587,                 1.5206,                 2.0356,                 1.1944,             0.00021801,             0.00021801,             0.00021801
                      6,                 1.4341,                 2.6482,                 1.1466,                0.50773,                0.51278,                0.55197,                0.30481,                 1.5126,                 1.9377,                 1.1973,             0.00021576,             0.00021576,             0.00021576
                      7,                 1.3994,                  2.408,                 1.1433,                0.48022,                0.53892,                0.56855,                0.32407,                 1.4975,                 1.9449,                 1.1927,             0.00021352,             0.00021352,             0.00021352
                      8,                 1.3864,                 2.2178,                 1.1348,                0.54347,                0.57062,                0.59799,                0.33138,                 1.5244,                 1.8429,                 1.1809,             0.00021127,             0.00021127,             0.00021127
                      9,                 1.3453,                 2.0175,                 1.1203,                0.60821,                0.55106,                0.60996,                0.34386,                 1.4948,                 1.7925,                 1.2019,             0.00020902,             0.00020902,             0.00020902
                     10,                 1.3536,                  1.939,                 1.1199,                0.65862,                0.52763,                0.61312,                0.35416,                  1.483,                 1.8076,                 1.1825,             0.00020677,             0.00020677,             0.00020677
                     11,                 1.3236,                 1.8035,                 1.1015,                0.62633,                0.59266,                0.63011,                0.35067,                 1.5177,                 1.7329,                 1.1729,             0.00020453,             0.00020453,             0.00020453
                     12,                 1.3081,                 1.6944,                 1.1042,                0.62015,                0.57912,                0.64758,                0.37136,                 1.5015,                 1.6929,                 1.1962,             0.00020228,             0.00020228,             0.00020228
                     13,                  1.291,                 1.6184,                 1.0906,                0.63972,                0.61857,                0.65364,                0.37911,                 1.5265,                 1.7081,                 1.2081,             0.00020003,             0.00020003,             0.00020003
                     14,                 1.2835,                 1.5553,                 1.0865,                0.69284,                  0.609,                0.66272,                 0.3858,                 1.5099,                 1.6266,                 1.1882,             0.00019779,             0.00019779,             0.00019779
                     15,                 1.2715,                  1.471,                 1.0769,                0.66236,                0.61676,                0.67685,                0.39496,                 1.5158,                 1.6213,                 1.1925,             0.00019554,             0.00019554,             0.00019554
                     16,                 1.2553,                 1.4182,                 1.0859,                0.68396,                0.61797,                0.69203,                0.39876,                 1.5486,                 1.6008,                 1.2139,             0.00019329,             0.00019329,             0.00019329
                     17,                 1.2281,                 1.3673,                 1.0676,                0.79107,                0.58349,                0.69365,                0.40426,                 1.5135,                 1.5902,                 1.1889,             0.00019104,             0.00019104,             0.00019104
                     18,                 1.2159,                 1.3086,                  1.059,                0.73301,                0.62632,                0.70325,                0.40947,                 1.5424,                 1.5988,                 1.2267,              0.0001888,              0.0001888,              0.0001888
                     19,                 1.2046,                 1.2744,                 1.0594,                0.62275,                0.72294,                0.70119,                0.40396,                 1.5671,                 1.5181,                  1.233,             0.00018655,             0.00018655,             0.00018655
                     20,                 1.2048,                 1.2417,                 1.0551,                0.70883,                0.63261,                0.71257,                 0.3999,                 1.5857,                   1.51,                 1.2261,              0.0001843,              0.0001843,              0.0001843
                     21,                 1.1875,                 1.1951,                 1.0527,                 0.7398,                0.65507,                0.73396,                  0.427,                 1.5644,                 1.5057,                 1.2273,             0.00018205,             0.00018205,             0.00018205
                     22,                 1.1615,                 1.1588,                  1.044,                0.75077,                0.61177,                 0.6974,                0.40817,                 1.5323,                 1.5378,                 1.2128,             0.00017981,             0.00017981,             0.00017981
                     23,                 1.1686,                  1.123,                 1.0361,                0.72467,                0.64731,                0.71268,                0.40875,                 1.5628,                 1.5308,                 1.2537,             0.00017756,             0.00017756,             0.00017756
                     24,                 1.1603,                 1.1168,                 1.0395,                0.72971,                0.66853,                0.72026,                0.40557,                 1.6218,                 1.5113,                 1.2563,             0.00017531,             0.00017531,             0.00017531
                     25,                 1.1356,                 1.0881,                 1.0314,                0.72563,                0.68502,                0.74365,                0.42765,                 1.5279,                 1.4326,                 1.2266,             0.00017306,             0.00017306,             0.00017306
                     26,                 1.1384,                 1.0824,                 1.0351,                0.67522,                0.66958,                0.72343,                0.41257,                 1.5368,                 1.5055,                 1.2267,             0.00017082,             0.00017082,             0.00017082
                     27,                 1.1212,                 1.0312,                 1.0277,                0.69831,                0.65949,                0.71817,                0.40486,                 1.5839,                 1.5192,                 1.2494,             0.00016857,             0.00016857,             0.00016857
                     28,                 1.1012,                 1.0182,                 1.0208,                0.69894,                0.68027,                0.72863,                0.41112,                 1.5857,                 1.4681,                   1.25,             0.00016632,             0.00016632,             0.00016632
                     29,                 1.0992,                0.98667,                 1.0165,                0.77421,                0.64153,                0.71699,                0.41428,                  1.562,                 1.4261,                 1.2447,             0.00016408,             0.00016408,             0.00016408
                     30,                 1.0941,                 0.9924,                 1.0186,                0.70293,                0.68248,                0.72542,                0.41147,                 1.5689,                 1.5045,                 1.2572,             0.00016183,             0.00016183,             0.00016183
                     31,                 1.0757,                0.95671,                 1.0103,                0.78525,                0.65846,                0.73344,                0.42032,                 1.5771,                 1.4121,                 1.2578,             0.00015958,             0.00015958,             0.00015958
                     32,                 1.0763,                0.96927,                 1.0095,                0.71801,                0.66971,                0.71055,                0.40574,                 1.5781,                 1.5015,                 1.2519,             0.00015733,             0.00015733,             0.00015733
                     33,                 1.0493,                0.91819,                 1.0033,                0.75157,                0.65733,                0.73541,                0.42185,                  1.525,                 1.4208,                 1.2371,             0.00015509,             0.00015509,             0.00015509
                     34,                  1.071,                0.91305,                 1.0061,                0.72699,                0.66914,                0.73091,                0.41671,                 1.5904,                  1.436,                 1.2556,             0.00015284,             0.00015284,             0.00015284
                     35,                 1.0471,                0.89142,                 1.0004,                0.74055,                0.66327,                0.73713,                0.42416,                 1.5676,                 1.4256,                 1.2425,             0.00015059,             0.00015059,             0.00015059
