                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2506,                 7.0457,                 1.3653,                      0,                      0,                      0,                      0,                 1.5141,                 6.4412,                 1.0724,              8.568e-05,              8.568e-05,              8.568e-05
                      2,                 1.7142,                 5.9713,                 1.0893,                0.00175,                0.13333,                0.02196,                0.01511,                 1.2258,                 5.9004,                0.92667,             0.00017673,             0.00017673,             0.00017673
                      3,                 1.6621,                 5.2376,                 1.0164,                0.00236,                0.48333,                0.10179,                0.04161,                 1.3863,                 5.7271,                0.94326,             0.00026595,             0.00026595,             0.00026595
                      4,                 1.5607,                 4.8513,                 1.0036,                0.00241,                0.58333,                0.07296,                0.04141,                 1.4466,                 5.4166,                 0.9393,             0.00035333,             0.00035333,             0.00035333
                      5,                 1.5518,                 4.4084,                 1.0037,                0.00431,                0.83333,                0.19626,                0.10983,                 1.3102,                 5.2097,                0.94269,             0.00043886,             0.00043886,             0.00043886
                      6,                 1.5098,                 4.0682,                 1.0196,                0.31691,                0.54318,                0.34901,                0.22148,                 1.1844,                 4.6756,                0.92501,             0.00052257,             0.00052257,             0.00052257
                      7,                 1.5242,                 3.8162,                 1.0241,                0.92759,                   0.05,                0.38854,                0.27521,                 1.2759,                 4.6879,                0.96315,             0.00060443,             0.00060443,             0.00060443
                      8,                 1.5238,                  3.905,                 1.0095,                0.97849,                0.14594,                0.37833,                0.23577,                 1.3425,                 4.4943,                 0.9796,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.5334,                 3.7881,                 1.0269,                0.86743,                0.14258,                0.44504,                0.26726,                 1.2622,                 4.3197,                0.95344,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.4217,                 3.5061,                0.99205,                0.55243,                0.47932,                0.54028,                0.35283,                 1.3184,                 3.7715,                0.95179,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.4209,                 3.4034,                 1.0126,                0.35202,                0.51667,                0.53448,                0.37697,                 1.3009,                 3.5773,                0.95351,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.4164,                 3.3683,                0.98376,                0.30781,                0.63799,                0.58743,                0.39879,                  1.261,                 3.3998,                0.93088,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.4526,                 3.0178,                   1.01,                0.61748,                0.41667,                0.53825,                0.37444,                 1.1648,                 3.4517,                 0.9094,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.3995,                 3.2907,                0.97482,                0.39851,                0.50646,                0.60101,                0.34594,                 1.2367,                 3.2696,                0.93126,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.3763,                 2.9693,                0.95585,                0.46633,                0.69835,                0.64919,                0.42602,                 1.3222,                 2.9389,                0.95179,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.3736,                 3.0794,                0.98144,                0.39739,                0.71954,                0.64805,                0.43492,                 1.0909,                 3.0334,                0.90606,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.3702,                 2.7132,                0.98647,                0.63778,                0.54564,                0.71935,                 0.5008,                 1.1778,                 2.8533,                0.89727,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.3455,                 2.5972,                0.99428,                 0.3885,                0.67788,                0.64739,                0.42164,                 1.2492,                 2.9628,                0.91948,             0.00059383,             0.00059383,             0.00059383
                     19,                  1.263,                 2.6146,                0.94548,                0.44364,                 0.7616,                0.65892,                0.47814,                 1.1423,                 2.7815,                0.89545,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.2785,                 2.4426,                0.96077,                0.87236,                0.78031,                 0.8705,                0.64949,                 1.1269,                 2.5308,                0.88258,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.2806,                 2.4089,                0.95762,                0.68278,                0.84548,                0.82424,                0.57087,                 1.1833,                 2.5914,                0.90033,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.2911,                 2.3261,                0.94993,                0.84291,                0.80714,                0.92092,                0.64456,                 1.0987,                 2.5182,                0.89284,             0.00056556,             0.00056556,             0.00056556
                     23,                  1.187,                 2.3346,                 0.9478,                0.71781,                0.91486,                0.91486,                0.56787,                 1.1895,                 2.5607,                0.91826,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.2115,                 2.1531,                0.94556,                0.67728,                    0.9,                0.94262,                 0.6886,                 1.0859,                 2.3661,                0.89146,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.2187,                 2.1196,                0.92829,                0.68552,                0.93761,                0.84858,                0.61345,                 1.0542,                 2.3844,                0.87326,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.2136,                 2.2429,                0.97372,                0.77359,                0.75872,                0.88858,                0.62561,                 1.1912,                 2.3782,                0.90028,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.1859,                 1.9817,                0.97111,                0.67431,                0.85588,                0.89858,                0.63981,                  1.053,                 2.0972,                0.91034,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.2307,                 2.0603,                0.96336,                0.64259,                0.85268,                0.87372,                0.62477,                 1.1415,                 2.1654,                0.91147,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.2597,                 2.1523,                0.97314,                0.85884,                0.83043,                0.89542,                0.65544,                 1.0906,                 2.1071,                0.89496,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.2166,                 1.9377,                 0.9615,                0.69264,                0.89032,                0.91208,                0.66856,                 1.0473,                 1.9532,                0.87802,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.1434,                 1.9513,                0.94663,                0.81517,                0.67752,                0.84875,                0.58276,                 1.0879,                 2.1011,                0.88947,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.1346,                 1.9697,                0.92389,                0.64526,                0.89593,                 0.8745,                0.67117,                0.88239,                 2.1211,                0.84915,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.2426,                  1.896,                0.99021,                0.69526,                   0.85,                0.87858,                0.66563,                 0.9202,                  1.833,                0.86214,              0.0004878,              0.0004878,              0.0004878
                     34,                 1.1476,                  1.719,                 0.9374,                0.79207,                0.75338,                 0.8785,                 0.6297,                0.99271,                 1.8476,                 0.8727,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.1399,                 1.6582,                0.94914,                0.85917,                0.93192,                0.94517,                0.70666,                0.96043,                 1.6178,                0.87042,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.1713,                 1.7146,                0.93516,                0.89161,                0.97366,                0.96183,                0.70328,                 1.0418,                 1.7503,                0.88213,              0.0004666,              0.0004666,              0.0004666
                     37,                  1.112,                 1.7275,                0.92918,                0.88223,                0.98854,                0.96183,                0.74269,                0.95926,                 1.6849,                 0.8471,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.0637,                 1.4863,                0.92713,                0.87346,                0.95598,                0.97833,                0.76899,                0.90279,                 1.5374,                0.83648,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.1468,                 1.5268,                0.90139,                0.78109,                 0.9984,                0.96167,                0.74867,                 1.0191,                 1.6943,                0.86089,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.1419,                 1.6105,                0.90725,                0.90195,                 0.9601,                  0.995,                0.78006,                0.88445,                 1.5471,                0.85982,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.0241,                 1.4556,                0.91549,                0.85078,                0.88456,                  0.945,                0.70161,                 0.9545,                 1.5853,                0.84941,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.0438,                 1.4392,                0.92153,                0.84987,                 0.9089,                0.95333,                0.72665,                0.94934,                 1.5668,                0.84419,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.0371,                  1.414,                0.90621,                0.91765,                0.97045,                0.97833,                0.73825,                0.94393,                 1.4797,                0.85995,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.0503,                 1.4038,                 0.9107,                0.94147,                0.90592,                0.97833,                0.76199,                0.86236,                 1.3552,                0.84463,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.0719,                 1.4301,                0.90825,                0.90666,                0.92345,                0.97833,                0.76614,                0.85003,                 1.4096,                0.83487,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.0143,                 1.3904,                0.90553,                0.92907,                 0.9304,                0.97833,                0.78753,                0.82454,                 1.4161,                0.83094,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.0327,                  1.342,                0.92154,                0.92042,                0.92325,                  0.995,                0.77114,                   0.93,                 1.3887,                0.84718,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.0733,                 1.4547,                0.92008,                0.94476,                0.95635,                  0.995,                0.70903,                 1.0767,                 1.3096,                0.87862,             0.00038178,             0.00038178,             0.00038178
