                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0371,                0.84717,                 1.0318,                0.75885,                0.74839,                0.79473,                0.43718,                 1.6249,                 1.2492,                 1.4126,             0.00019795,             0.00019795,             0.00019795
                     35,                  1.035,                 0.8349,                 1.0339,                0.72606,                0.73205,                0.78778,                0.42422,                 1.6889,                 1.2208,                 1.4355,             0.00019504,             0.00019504,             0.00019504
                     36,                 1.0035,                 0.8117,                 1.0127,                0.83909,                0.71932,                0.82542,                0.45682,                 1.6424,                 1.1624,                 1.4153,             0.00019213,             0.00019213,             0.00019213
                     37,                 1.0197,                0.83122,                 1.0298,                0.72779,                0.76416,                0.79739,                0.43816,                  1.685,                 1.1803,                 1.4474,             0.00018922,             0.00018922,             0.00018922
                     38,                 1.0085,                 0.7989,                 1.0215,                0.77253,                0.74942,                0.80817,                0.45467,                 1.6201,                 1.2117,                 1.4182,             0.00018631,             0.00018631,             0.00018631
                     39,                0.98202,                0.78764,                 1.0139,                0.80949,                0.70563,                0.80415,                0.43925,                 1.6512,                 1.2392,                 1.4368,              0.0001834,              0.0001834,              0.0001834
                     40,                0.98788,                0.78747,                 1.0174,                  0.855,                0.71774,                0.81759,                0.45712,                 1.6052,                 1.1589,                 1.4085,             0.00018049,             0.00018049,             0.00018049
                     41,                 0.9805,                0.79144,                 1.0071,                0.76881,                0.75968,                0.81713,                0.45205,                   1.62,                 1.2039,                 1.4364,             0.00017758,             0.00017758,             0.00017758
                     42,                0.97205,                0.75873,                  1.006,                0.82789,                0.78515,                0.83995,                0.45059,                 1.6637,                 1.1539,                 1.4673,             0.00017467,             0.00017467,             0.00017467
                     43,                0.94621,                0.75323,                 1.0032,                0.84533,                0.75558,                0.81948,                0.45521,                 1.6277,                 1.2037,                 1.4174,             0.00017175,             0.00017175,             0.00017175
                     44,                 0.9567,                0.74593,                 1.0035,                0.77591,                0.72196,                0.80541,                0.45446,                 1.5821,                 1.2145,                 1.3823,             0.00016884,             0.00016884,             0.00016884
                     45,                0.94512,                 0.7317,                 0.9947,                0.83427,                 0.7212,                0.81204,                0.45402,                 1.6307,                 1.1403,                 1.4301,             0.00016593,             0.00016593,             0.00016593
                     46,                0.94779,                0.72922,                0.99703,                0.82403,                0.75285,                0.81891,                0.45881,                 1.6321,                  1.088,                 1.4268,             0.00016302,             0.00016302,             0.00016302
                     47,                0.92805,                0.71157,                0.99055,                 0.7796,                0.72482,                0.81725,                0.44795,                 1.6494,                 1.1451,                 1.4334,             0.00016011,             0.00016011,             0.00016011
                     48,                0.92023,                0.70435,                 0.9925,                0.89447,                0.71083,                0.82193,                0.45788,                 1.6499,                 1.1463,                 1.4359,              0.0001572,              0.0001572,              0.0001572
                     49,                0.91304,                0.70399,                0.98207,                0.78731,                0.75303,                0.82242,                0.44899,                 1.6747,                 1.1418,                 1.4521,             0.00015429,             0.00015429,             0.00015429
                     50,                0.90818,                0.69695,                0.98388,                0.87139,                0.73149,                0.82212,                0.45849,                 1.6439,                  1.169,                 1.4691,             0.00015138,             0.00015138,             0.00015138
                     51,                0.91895,                0.70291,                0.99177,                0.84879,                0.73399,                0.82199,                0.46554,                 1.6325,                  1.143,                 1.4645,             0.00014847,             0.00014847,             0.00014847
                     52,                0.90332,                0.69042,                0.98459,                0.84117,                0.75605,                0.83259,                0.46507,                 1.6419,                 1.1063,                 1.4386,             0.00014556,             0.00014556,             0.00014556
                     53,                0.89769,                0.68672,                0.98317,                 0.7999,                0.75847,                 0.8281,                0.45543,                 1.6633,                 1.1124,                 1.4678,             0.00014265,             0.00014265,             0.00014265
                     54,                0.88678,                0.67203,                0.97699,                0.85393,                0.75203,                0.82638,                0.47297,                 1.6094,                 1.1232,                 1.4215,             0.00013974,             0.00013974,             0.00013974
                     55,                0.88594,                0.66681,                0.97409,                0.85889,                 0.7254,                0.82139,                  0.461,                 1.6158,                 1.1437,                 1.4262,             0.00013683,             0.00013683,             0.00013683
                     56,                0.86712,                0.65824,                0.96922,                0.82205,                0.73921,                0.82327,                0.44999,                 1.6719,                 1.0926,                 1.4769,             0.00013392,             0.00013392,             0.00013392
                     57,                0.86734,                0.64903,                0.96123,                0.80847,                0.72901,                0.81295,                0.45721,                 1.6554,                 1.1138,                 1.4499,             0.00013101,             0.00013101,             0.00013101
                     58,                0.87233,                 0.6429,                0.96873,                0.82473,                0.74265,                0.82384,                0.45005,                 1.6479,                 1.1606,                 1.4455,              0.0001281,              0.0001281,              0.0001281
                     59,                 0.8499,                0.63682,                0.96794,                 0.8172,                0.77968,                0.83611,                0.46576,                 1.6332,                 1.0582,                 1.4329,             0.00012519,             0.00012519,             0.00012519
                     60,                0.86811,                0.65596,                0.97025,                0.81955,                0.74629,                 0.8236,                0.45141,                 1.6689,                 1.0753,                 1.5007,             0.00012227,             0.00012227,             0.00012227
                     61,                0.83218,                0.62043,                0.95917,                0.84248,                0.73238,                0.82404,                0.45581,                 1.6429,                 1.1462,                 1.4482,             0.00011936,             0.00011936,             0.00011936
                     62,                0.84446,                0.63042,                0.95414,                 0.8338,                0.76901,                0.83991,                0.46127,                 1.6405,                 1.1304,                 1.4552,             0.00011645,             0.00011645,             0.00011645
                     63,                 0.8452,                0.62411,                0.96288,                0.86938,                0.74664,                0.83305,                0.46101,                 1.6465,                 1.0645,                 1.4709,             0.00011354,             0.00011354,             0.00011354
                     64,                0.83894,                0.61398,                0.96162,                0.76333,                0.78184,                0.82625,                0.45827,                 1.6494,                  1.113,                 1.4453,             0.00011063,             0.00011063,             0.00011063
                     65,                0.82569,                0.61862,                0.95321,                0.81039,                0.79346,                0.84092,                0.46792,                 1.6108,                 1.0792,                 1.4417,             0.00010772,             0.00010772,             0.00010772
                     66,                0.82275,                0.60877,                0.95026,                0.81829,                0.77596,                0.83825,                0.46699,                 1.6603,                 1.0949,                 1.4712,             0.00010481,             0.00010481,             0.00010481
                     67,                0.81833,                0.61735,                0.94666,                0.83487,                0.73183,                0.82233,                0.45755,                 1.6408,                 1.0758,                 1.4598,              0.0001019,              0.0001019,              0.0001019
                     68,                0.80536,                 0.5963,                 0.9444,                0.83136,                0.76936,                0.83577,                0.46064,                 1.6468,                 1.0694,                 1.4754,              9.899e-05,              9.899e-05,              9.899e-05
                     69,                0.79386,                0.59104,                0.94356,                 0.9218,                 0.6965,                0.82374,                0.45401,                 1.6646,                  1.099,                 1.4988,             9.6079e-05,             9.6079e-05,             9.6079e-05
                     70,                 0.8051,                0.60106,                0.94412,                0.80126,                0.77238,                0.83972,                0.46732,                 1.6417,                 1.0896,                 1.4835,             9.3169e-05,             9.3169e-05,             9.3169e-05
                     71,                 0.7959,                0.59098,                 0.9413,                0.85319,                0.75482,                0.82898,                0.45925,                  1.637,                 1.0671,                 1.4835,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     72,                0.78878,                0.59228,                0.93425,                0.78656,                0.77907,                0.83147,                0.46108,                 1.6185,                 1.1169,                 1.4607,             8.7347e-05,             8.7347e-05,             8.7347e-05
                     73,                0.79273,                0.58869,                0.94063,                0.84581,                0.75674,                0.83797,                0.46174,                 1.6294,                 1.0703,                 1.4805,             8.4437e-05,             8.4437e-05,             8.4437e-05
