                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1711,                 6.7821,                 1.2654,                      0,                      0,                      0,                      0,                 1.9268,                 6.5836,                 1.3507,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                  2.009,                  6.133,                 1.1848,                      0,                      0,                      0,                      0,                 1.7071,                 6.8171,                 1.3184,             5.5845e-05,             5.5845e-05,             5.5845e-05
                      3,                 1.9861,                 6.3454,                 1.2577,                      0,                      0,                      0,                      0,                  1.698,                 6.5597,                 1.2385,             4.5342e-05,             4.5342e-05,             4.5342e-05
