                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1711,                 6.7821,                 1.2654,                      0,                      0,                      0,                      0,                 1.9268,                 6.5836,                 1.3507,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 2.0104,                  6.114,                  1.181,                      0,                      0,                      0,                      0,                 1.7217,                  6.583,                 1.2814,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                 2.0189,                 6.0113,                 1.2119,                0.00091,                   0.25,                0.00071,                0.00057,                 1.5714,                 6.1348,                 1.2153,             0.00013072,             0.00013072,             0.00013072
                      4,                 1.8204,                 5.3646,                  1.105,                0.00247,                   0.75,                0.00268,                0.00095,                  1.657,                 5.5428,                 1.1195,             0.00017792,             0.00017792,             0.00017792
                      5,                 1.7731,                  4.959,                 1.0416,                0.00168,                    0.5,                0.00238,                0.00111,                 1.2177,                 5.2346,                 1.0365,             0.00022414,             0.00022414,             0.00022414
                      6,                 1.8634,                 4.7084,                 1.0222,                0.00243,                   0.75,                 0.0041,                0.00101,                  1.114,                 4.9451,                0.98157,             0.00026936,             0.00026936,             0.00026936
                      7,                 1.7206,                 3.0908,                0.96899,                0.00243,                   0.75,                 0.0041,                0.00101,                 1.1251,                    4.9,                0.97822,              0.0003136,              0.0003136,              0.0003136
                      8,                 1.6383,                 3.6236,                 1.0356,                0.00243,                   0.75,                 0.0041,                0.00101,                 1.2205,                  5.071,                 1.0065,             0.00035684,             0.00035684,             0.00035684
                      9,                 1.5526,                 3.6933,                0.98796,                0.00069,                   0.25,                0.00075,                  7e-05,                 1.2602,                 5.2271,                0.99186,             0.00039909,             0.00039909,             0.00039909
                     10,                 1.6648,                 3.2326,                 1.0395,                0.00069,                   0.25,                0.00075,                  7e-05,                 1.1532,                 5.0964,                0.97122,             0.00044036,             0.00044036,             0.00044036
                     11,                 1.5553,                 2.9697,                 1.0587,                0.00079,                   0.25,                0.00059,                0.00048,                 1.0805,                 4.8518,                0.94451,             0.00048063,             0.00048063,             0.00048063
                     12,                 1.6195,                 3.4937,                 1.0616,                0.00155,                    0.5,                 0.0016,                0.00102,                 1.1294,                 5.0078,                0.96593,             0.00051991,             0.00051991,             0.00051991
                     13,                 1.6129,                  2.802,                 1.0088,                0.00158,                    0.5,                0.00166,                0.00116,                 1.3014,                 4.7558,                0.94918,              0.0005582,              0.0005582,              0.0005582
                     14,                 1.6343,                 2.6034,                0.95895,                0.00158,                    0.5,                0.00163,                0.00089,                 1.3445,                 4.6525,                0.97579,             0.00059551,             0.00059551,             0.00059551
                     15,                 1.5936,                 2.5288,                0.99333,                 0.0016,                    0.5,                 0.0017,                0.00134,                 1.3051,                  4.847,                0.95205,             0.00063182,             0.00063182,             0.00063182
                     16,                  1.518,                 3.5685,                 0.9918,                0.00163,                    0.5,                0.00166,                 0.0011,                 1.1865,                 5.0069,                0.93403,             0.00066714,             0.00066714,             0.00066714
                     17,                 1.3538,                 2.3027,                 1.0234,                0.00079,                   0.25,                0.00583,                0.00466,                 1.1683,                 5.0816,                0.93241,             0.00070147,             0.00070147,             0.00070147
                     18,                 1.4032,                 2.4231,                0.96679,                0.00156,                    0.5,                0.06271,                0.05017,                   1.18,                 4.5742,                0.93256,             0.00073482,             0.00073482,             0.00073482
                     19,                 1.5745,                 2.5466,                 0.9631,                0.00335,                      1,                0.25095,                0.17553,                 1.1655,                 4.5254,                0.94641,             0.00076717,             0.00076717,             0.00076717
